word,bri,pos,eje
nervioso,shugón’,adj,
nervioso,yá’ cón’ sújcra,adj,
nido,chúp,sust,
niece,chú,sust,
nieta,bríshba,sust,
nieto,bríshba,sust,
nieve,bóc suát,sust,
no,í’an’ca,adv,
"no estar, no haber",si’án’,verbo,
noche,bic,sust,
noche,các bigát,sust,
noche,các bu,sust,
nombre,cá’,sust,
noticia,téc,sust,
"novio, novia",shiduá,sust,
nube,boc,sust,
nube,các boc,sust,
nuca,cá’xá,sust,
nudo,cubíjcra,sust,
nuera,quibíj,sust,
nueve,cújtan’,num,
nueve,éjcuj,num,
nuevo,quin’ cá,adj,
nutria,dóc,sust,
obsequiado,deuá,adj,
obsequiar,dé,verbo,
obsequio,dégua,sust,
observado,craé’ua,adj,
observador,ishdí,sust,
observar,craé’,verbo,
ocho,éjtan’,num,
oído,dú’t,sust,
oír,dójc,verbo,
ojo de agua,dí’ huis,sust,
oler,súc,verbo,
oler a orina,tashó’,verbo,
oler bien,comón’,verbo,
olerse algo,comón’,verbo,
olla,curé,sust,
oloroso,comón’,adj,
olvidar,chíc quí dec,verbo,
olvidar,urín’,verbo,
olvidar,urín’ u chí ta,loc,
ombligo,dúsca,sust,
oración,taba,sust,
ordeñar,í’c,verbo,
oreja,cuágaj,sust,
orilla,ban’,sust,
orina,huish,sust,
orinar,huishcú,verbo,
oro,dric drubát,sust,
oro,dric drup,sust,
oro,dric shosát,sust,
oro,shos,sust,
oscurecer,dujdé’,verbo,
oscurecerse,turinát,verbo,
oscuridad,các turín’,sust,
oscuro,turín’,adj,
oso,ron’shí,sust,
ostra,yúijt,sust,
otra vez,áyi’,adv,
otra vez,"éye’, éyi’",adv,
otro,é’t,adj,
padecer de asma,sucsuí crán’,verbo,
padecer de tos,to’tcrán’,verbo,
padre,yebejt,sust,
padre,yuejt,sust,
padrino,dí’ te’uá,sust,
pagar,ton’,verbo,
pagar,ujdé,verbo,
pago,ton’uá,sust,
pájaro,du,sust,
pájaro,du xít,sust,
palabra,téc,sust,
palacio,ú yamú’ra,sust,
pálido,dútshishí,adj,
palma,ócra,sust,
palma de la mano,chi,sust,
palmera,ócra,sust,
palo,crán’,sust,
paloma,du,sust,
pan,crán’utcá,sust,
panal,bút ú,sust,
pantalón,cré’ua,sust,
pantano,dí’ huis,sust,
pantano,surá’ chá,sust,
pantorrilla,támij,sust,
pañuelo,cú’shi cá,sust,
panzón,cudát,adj,
papa,du xít,sust,
papaya,cú’,sust,
papel,ó’c,sust,
paquete,búcshi,sust,
para,yét,posp,
para (marcando el complemento indirecto),ca,posp,
para que?,i’ón’,part interr,
para qué?,ori’ ón’,interr,
paraguas,cáchi’uá,sust,
"paraguas, sombrilla",yá’ cá’shi’uá,sust,
parecerse,dó’she,verbo,
pared,ú shen’,sust,
pareja,bú’gua,sust,
parpadear,ca’ísh sútsút,verbo,
parpadear,sútsút,verbo,
párpado,ca’ísh cuá’s,sust,
parte,túj,sust,
parte,úc,sust,
parte central,dájt,sust,
parte central,dús,sust,
parte de abajo,dép,sust,
parte media,ij,sust,
partícula,doyén’ca xít,sust,
partícula intraducible empleada en ciertas preguntas,dé,part,
partícula pluralizadora,tre,part,
partícula que introduce oraciones finales,chá,part,
partícula que introduce oraciones imperativas negativas,dí,adv,
partido,bá’shi,adj,
partir,ba’,verbo,
partir en dos,bus,verbo,
pasado mañana,bué’c,adv,
pasear,cún’,verbo,
pastor,turi crabé’íj,sust,
pata de pollo,cro’ curáscua,sust,
patear,shés,verbo,
patio,úchen’,sust,
pato,cratus,sust,
pato,curáscua tús,sust,
pato,ro’díban’,sust,
pato doméstico,xén,sust,
pavimentado,cáchi’shí,adj,
peca,baguén’,sust,
pecho,bidrán’,sust,
pedazo,tajc,sust,
pedazo,túj,sust,
pedido,shiguá,adj,
pedir,shíc,verbo,
"peer, tirarse pedos",iscú’,verbo,
pegado,bus,adj,
pegado,cúshi,adj,
pegado,tabaní,adj,
pegajoso,huisraní,adj,
pegajoso,tabagraní,adj,
pegar,tabán’,verbo,
peinarse,yá’ té’,verbo,
peine,cá’sh,sust,
pejibaye,súba’,sust,
pelado,shui’cá,adj,
pelar,shuí’,verbo,
pelear,bájt,verbo,
pellizcar,shirocá’,verbo,
pelo,shi,sust,
pelo de barba,ujsí xít,sust,
pelo de la cabeza,shíjtca,sust,
peludo,shiraní,adj,
peñasco,can’ tán’,sust,
peñasco,canán’,sust,
pene,mun’ xín,sust,
pene,xú’s,sust,
pensar,chíc quí dójc,verbo,
pensar,dójc,verbo,
pepita,drajguí,sust,
pequeño,doyén’ca,adj,
pequeño,istamú’ra,adj,
"pequeño, se emplea para formar diminutivos",xít,adj,
perder,urín’,verbo,
perdido,urin’cá,adj,
pereza,quin’,sust,
perezoso,quin’shí,adj,
perezoso,quin’shicuá,adj,
perezoso,quin’súj,adj,
perfume,cóm,sust,
perico,cáxen xít,sust,
"perico ligero, mono perezoso",xa,sust,
periódico,shán’ ishcón’,sust,
permancer,ajt,verbo,
permanecer,cahuí’,verbo,
permitido,deuá,adj,
permitir,dé,verbo,
permitir,dó’,verbo,
permitir,é’shin’,verbo,
perro,auj,sust,
perseguir,crújc,verbo,
perseguir,degó’,verbo,
perseguir,yac,verbo,
persona,abí,sust,
persona,ya’srójc,sust,
persona blanca,abí suát,sust,
persona colorada,abí drubát,sust,
persona negra,abí brít,sust,
pesado,xiscá,adj,
pesar,xisón’,verbo,
pescado,chíjgua,adj,
pescador,chijguí,sust,
pescador,un’ chíjua,sust,
pescar,chíjc,verbo,
pestaña,ca’ísh shíj,sust,
petate,sháj,sust,
pez aguja,cua’tún’ún’,sust,
pez espada,un’cásh,sust,
pez pargo,shó’un’,sust,
"pez, pescado",un’,sust,
pezón,ca’drú’,sust,
pezuña,cú’scua,sust,
picante,atcá,adj,
picar,suc,verbo,
picazón,tú’,sust,
pico,cása,sust,
pie,curáscua,sust,
piedra,cán’,sust,
piedra de moler,brús,sust,
piedra de moler,cúp táj,sust,
piel,cuá’scua,sust,
pierna,busíj,sust,
pila,súc,sust,
pilado,cujuá,adj,
pilar (el arroz),cuj,verbo,
piña,boá’t,sust,
pintado,bon’uá,adj,
pintado,shosát,adj,
pintar,bon’,verbo,
pintar,shos,verbo,
pintón,ta’pcá,adj,
piojo,cua,sust,
piojoso,cuacrán’,adj,
pipa de fumar,dua súgua,sust,
piquete,os,sust,
pito,cué’,sust,
pizote,sí,sust,
planta,crá,sust,
planta del pie,curáscua plan,sust,
plata,dric suát,sust,
plataforma,shián’,sust,
plátano,muá,sust,
plátano maduro,muári’,sust,
plato,ú’shi,sust,
playa,up chen’,sust,
pluma,cá,sust,
poco,doyén’,adv,
poco a poco,huícta,adv,
podrido,tura’cá,adj,
podrirse,tura’,verbo,
policía,túnxuá,sust,
polilla,crán’trut,sust,
pollo,crá curáscua,sust,
"polvareda, polvazal",tabrún’rán’cra,sust,
polvo,tabrún’,sust,
pólvora,up drubí,sust,
poner,cuin’,verbo,
poner un huevo,cúp shon’,verbo,
ponerse (ropa),é’,verbo,
ponerse de acuerdo,yá’ te’uá,verbo,
ponerse el sol,shuc,verbo,
popa,rú cuanxá,sust,
poquito,doyemú’ra,adv,
por,í,posp,
por,ú’,posp,
"por allí, hacia allí",yáij,adv,
por aquí,huáij,adv,
por consiguiente,an’cá,conj,
por el contrario,an’cá,conj,
por eso,yá úgue’,conj,
por esta hora,hua’shiné,adv,
por medio de,crá’ ta,fr posp,
por qué,cuin’án’,loc adv,
por qué?,í ugué’,interr,
por si acaso,bú’shicá,adv,
porque,úgue’,conj,
potente,ajcá,adj,
pozol,curí’,sust,
precipicio,cas,sust,
precipicio,táp túj,sust,
precisamente,huá’xe,adv,
preguntar,dí,verbo,
preguntar,hua’shíc,verbo,
preguntar,tecshíc,verbo,
prenda de vestir,é’ua,sust,
prensado,tó’s,adj,
prensado,tó’shi,verbo,
prensar,tó’s,verbo,
preparar,yá’,verbo,
preservado,brá’ca,adj,
preservar,brá’,verbo,
prestado,shiguá,adj,
prestar,shíc,verbo,
pretina,brajt,sust,
prima,suí’,sust,
primera cosecha,ra’huá,sust,
primogénito,ra’huá,sust,
prisionero,beát,sust,
proa,ru sagrá,sust,
probar,dójc,verbo,
problema,yá’ teguí,sust,
pronóstico,quibité’,sust,
pronto,dó’ dó’,adv,
pronto,huiqué’,adv,
pronto,réa,adv,
pronto,réi,adv,
propio,sijí,adj,
propio,ya’át,adj,
prostituta,shicshicuá,sust,
protector,sayí,sust,
proteger,brá’,verbo,
proteger,crabé’,verbo,
proveniente,rajtcá,adj,
provisión,nen’drí’,sust,
pueblo,cac,sust,
puente,tójgua,sust,
puerta,úcarás,sust,
"pues, porque, por eso (compuesto de ya abí ú’",yubú’,conj,
puesto,cuimú’,adj,
puesto,cuiní,adj,
pujar,cú’shtan’,verbo,
pulga,shí’c,sust,
pulmón,rúdij,sust,
pulpería,ídidídi igui ú,sust,
Punta,drú’,sust,
pupila,ca’ísh shá’s,sust,
púrpura (color),urís,adj,
que,ní,conj,
qué,itín’,pron interr,
que importa!,atcú’,interj,
"qué, cómo",íshen’,interr,
quebrada,cajc,sust,
quebrado,brujcá,adj,
quebrado,cuescá,adj,
quebrar,brujc,verbo,
quebrar,cués,verbo,
quebrar,daba’,verbo,
quedar,ajt,verbo,
quejarse,cú’shi,verbo,
quejarse,cú’shtan’,verbo,
quemado,rútcá,adj,
quemado,xucá,adj,
quemar,rút,verbo,
quemar,xu,verbo,
querer,beyán’,verbo,
quieto,sí’sát,adj,
racimo,crán’ta,sust,
raíz,shá’s,sust,
rallado,shrédrua,adj,
rallar,shret,verbo,
rama,shíjt,sust,
ramitas quebradas o astillas,crán’shóc,sust,
rana,huén’,sust,
rápido,dó’ dó’,adv,
rascado,shú’sua,adj,
rascar,chuj,verbo,
rascar,shú’s,verbo,
raspado,shrédrua,adj,
raspar,chuj,verbo,
raspar,shret,verbo,
rata,cuí só’,sust,
ratón,cuí xít,sust,
rayo,các,sust,
rayo,cácyra,sust,
rayo,cue’dráta,sust,
rayos del sol,cacchá,sust,
realizar,sodíj,verbo,
realmente,bri’é,adv,
recobrar,ton’,verbo,
recoger,crin’,verbo,
recoger,ran’,verbo,
recojido,crin’cá,adj,
recordar,chigón’,verbo,
recordar,yá’ (i) chí ta ón’,verbo,
recostado,shua’shí,adj,
recostarse,can’ új,verbo,
recto,du’cá,adv,
redondo,basát,adj,
refinar el maíz en la piedra,cané’,verbo,
regalar,dó’,verbo,
regañar,bájt,verbo,
regañar,turéjc,verbo,
regar,a’rí’,verbo,
regar,boj,verbo,
regar,oj,verbo,
regar,quiaj,verbo,
región,tán’,sust,
regresar,shi,verbo,
reír (de),shit (úgué),verbo,
relámpago,các boc,sust,
relatar,cácyuac,verbo,
relatar,shán’,verbo,
relato,shán’,sust,
relinchar,huic,verbo,
relinchar,uré’re’,verbo,
relincho,uré’re’,sust,
reloj,các íshdua,sust,
reloj,các shí’ua,sust,
remedio,ten’uá,sust,
remendado,shecrán’,adj,
remendar,shéctaban’,verbo,
remolino,dí’ shuin’,sust,
remolino,shicújdua,sust,
repartir,tajc,verbo,
república,cahuí’cra,sust,
resbalar,rodé’,verbo,
resignarse,yá’ xa’ón’,verbo,
resistente,crasón’,adj,
resollar,shuyan’,verbo,
respetar,cón’,verbo,
respuesta,cheí,sust,
restos,so’cá,sust,
restregar,ya’huá,verbo,
retoño,trú,sust,
retoño,turú,sust,
reunión,ióc,sust,
reunirse,ióc,verbo,
revolver,chigué’,verbo,
revólver,bót xít,sust,
revolverse,yá’ cun’,verbo,
revuelto,chígue’uá,adj,
rezar,taba’shán’,verbo,
riñón,cán’cúbij,sust,
río,dí’,sust,
robar,ayán’,verbo,
rocío,dí’ shum,sust,
rodar,shút,verbo,
rodilla,cuarán’ta,sust,
rodilla,cu’srán’,sust,
roedor,cuí,sust,
rojizo,drubajé,adj,
rojo,drubát,adj,
romper,shité’,verbo,
roncha,éjc dén’,sust,
ronco,imbú’,adj,
ropa,úsheuá,sust,
roto,shitcá,adj,
roto,shíte’uá,adj,
roto (dícese de la ropa),shie bra’é,adj,
rótula,cua’xít,sust,
ruido,shún’,sust,
sabana,sután’,sust,
saber,huí,verbo,
saber de memoria,huí i sagrá ta,verbo,
sabiburía,huií,sust,
sabio,huií,sust,
sabroso,bre’són’,adj,
sacar,chíjc,verbo,
sacar,rájt,verbo,
sacerdote católico,caban’,sust,
sacudir,curis,verbo,
sal,meré,sust,
salado,shui’dón’,adj,
salir (de),rajt (ta),verbo,
saliva,rot,sust,
saliva,sru chá,sust,
saliva,yan’rot,sust,
salón,ú crí’,sust,
salvaje,cruáp,adj,
salvaje,yu’,adj,
salveque,shómcra,sust,
sancochado,rojguá,adj,
sancochar,rojc,verbo,
sangre,yibí,sust,
sanitario,shua’cú’cra,sust,
sapo,quis,sust,
sapo,shui,sust,
sarna,tu’s,sust,
savia,crán’ chá,sust,
secar,xen,verbo,
secarse una planta,sat,verbo,
seco,ixín,adj,
seco,xencá,adj,
seco (dicho de una planta),satcá,adj,
secreto,cán’í,sust,
secreto,disát,sust,
"seguir (a alguien, algo)",dec (dí) dén’ ca,verbo,
seguramente,a’ronqué,adv,
seis,téshan’,num,
selva,crán’ súj,sust,
selva,yaba’chíc,sust,
semana,duríj,sust,
sembradío,rán’cra,sust,
sembrar,chayá’,verbo,
sembrar,sán’,verbo,
"semejante (a), más o menos, aproximadamente, como. Bú’c metro ijchí – más o menos dos metros",ijchí,posp,
semejante a,dó’sh,adv,
semi desnudo,cúp trét,adj masc,
semi naked,croc trét,adj fem,
semilla,cup,sust,
señal,huahua,sust,
senos,chuchú’,sust,
sentado,sáyashí,adj,
sentado en el suelo,curasxí,adv,
sentarse,sayá,verbo,
sentarse,yá’ sayá,verbo,
sentido,can’íj,sust,
sentir,cun’,verbo,
sentir,dójc,verbo,
sepultura,dí’bujquí,sust,
ser tarde,các bejdé,verbo,
ser tarde,séj,verbo,
serpiente,brú’,sust,
serpiente,tebec,sust,
sesos,sagrá dobó’t,sust,
sí,úgue’,adv,
si acaso,í’an’ ca,conj,
sien,can’íj,sust,
siete,cúj,num,
silbar,xíjcun’,verbo,
silbido,xíjcun’crá,sust,
silencioso,disát,adj,
silla,te’crá,sust,
sin beneficio,chichó’,adv,
sin carga,té’shijshí,adj,
sin nada,cradájta,adv,
sin terminar,crán’ dájt ta,loc adv,
"sin terminar, a medio hacer, sin beneficio",chichó’,adv,
"sirvienta, empleada",yáscra,sust,
sobre (precedida del sust yrá),ca,posp,
sobrina,ráyaba,sust,
sobrino,ráyaba,sust,
sobros,so’cá,sust,
sol,các,sust,
solamente,reshí,adv,
sólido,bojgué,adj,
solitario,reshí,adj,
solo,reshí,adj,
soltar,cán’,verbo,
soltar,shún’,verbo,
soltero,ijnén’,adj,
sombra,huic,sust,
sombrero,sé’ua,sust,
someter,xán’,verbo,
sonajero,chicáj,sust,
soñar,yá’c,verbo,
soñar,yagué’,verbo,
sonriente,cáxi’,adj,
sonriente,shidí,adj,
sonrojarse,chichó,verbo,
sopa,rí’ chá,sust,
sopa,shujdí’,sust,
soplar,buj,verbo,
soporte,an’crá,sust,
sordo,cuadú’c,adj,
sordo,cuá’dút,sust,
sostener,crújc,verbo,
suave,da’dón’,adj,
suave,yro’cá,adj,
suave (dícese de la comida en estado de cocción),rucá,adj,
suavizar,yro’,verbo,
suavizar,yro’ré’,verbo,
sucio,shúcrán’,adj,
sucio,u’dát,adj,
sudar,brajt,verbo,
sudar,sa’i,verbo,
suegra,curabráj,sust fem,
suegro,runcáj,sust,
suelo,táp,sust,
suelto,caní,adj,
sueño,cap,sust,
superficie,yrá,sust,
suquia,bó’s,sust,
surco,cajc,sust,
suspirar,shuc,verbo,
suspiro,shuc,sust,
susto,cón’cha,sust,
susurrar,cosbrá’,verbo,
tabaco,dua,sust,
tal vez,a’ronqué,adv,
talado,biun’cá,adj,
talar,biun’,verbo,
talón,rúj,sust,
tamal,charí’,sust,
tamaño,ijchí,sust,
tamaño,ijchíshi,sust,
tambalearse como los borrachos,tun’té’,verbo,
también,dó’sh,adv,
"también, y",ijchí,conj,
tambor,quebé’,sust,
tan pronto como,é’,posp,
tantear,dójc,verbo,
tapa,cáchi’cra,sust,
tapa (de olla),curé cáchi’uá,sust,
taparrabos,táña’,sust,
tarde,bejdé,adj,
tarde,các nan’ájt,sust,
tarde,các naní’,sust,
tarde,các séj,sust,
tarea,bígran’,sust,
tarima,antáj,sust,
té,crán’ ca chá,sust,
techo,tubún’,sust,
techo,ú tán’,sust,
tejer,cú’shi bin’,verbo,
tejer,cú’shi té’,verbo,
tela,cú’shi,sust,
telaraña,curép ú xít,sust,
telaraña,ójc ú,sust,
temblar,curis,verbo,
temblar,tratbrá’,verbo,
temblor de tierra,curis,sust,
tembloroso,tartbrá’uá,adj,
tempestad,urubú,sust,
temporal,doyén’ quiyén’,adj,
temporalmente,doyén’ quiyén’,adv,
temprano,due’shí,adj,
tender,tút,verbo,
tendido,tútca,adj,
tenedor,cri xán’,sust,
tener,bac,verbo,
tener calor,brajt,verbo,
tener calor,ro’gón’,verbo,
tener calor,yión’,verbo,
tener dolor,xa’ón’,verbo,
tener frío,xá’,verbo,
tener hambre,bri,verbo,
tener hipo,au’tán’,verbo,
tener malestar corporal,cún’,verbo,
tener miedo,cón’,verbo,
tener necesidad,sebéc,verbo,
tener pereza,quin’,verbo,
tener relaciones sexuales,sá’ri’bú’ri’,verbo,
tener sed,dí’ yan’chá,verbo,
tener vergüenza (de),bia (cá),verbo,
teñido,bon’uá,adj,
teñir,bon’,verbo,
teñir,ten’,verbo,
terminación,cué’,sust,
terminado,danicá,adj,
terminar,daní,verbo,
terminar,oc,verbo,
ternero,memé’,sust,
"ternero, ternera",turi xít,sust,
terremoto,curiscá,sust,
testículo,cúp,sust,
testigo,té’ua,sust,
teta,ca’,sust,
tía,chú,sust,
tibio,bo’dón’,adj,
tibio,yiraní,adj,
tiburón,coraún’,sust,
tiempo,các,sust,
tienda de campaña,cú’shi ú,sust,
tierra,táp,sust,
tieso,crascá,adj,
tigre,curá’,sust,
tijeras,cú’shi tás hua,sust,
tinieblas,các turín’,sust,
tío,uncá’,sust,
tiquisque,sán’,sust,
tirar,bin’,verbo,
tirar al aire,risht,verbo,
tobillo,cráca’ìsh,sust,
tocar,bric,verbo,
tocar (instrumentos musicales),chicáj,verbo,
tocar guitarra,chuj,verbo,
todo,ógué,adj,
tonto,sadúc,adj,
tonto,shúcshi,adj,
topo,rujc,sust,
tórax,chíc,sust,
torcer,buc,verbo,
torcer,shí’s,verbo,
torcido,buguá,adj,
torcido,cashuáj,adj,
torcido,shi’sát,ad,
toro,turi sujgrójc,sust,
tortilla común,ojrí’,sust,
tortuga,shéc,sust,
torturado,in’raní,adj,
tos,tó’t,sust,
trabajar,upshíj,verbo,
trabajo,upshíjua,sust,
tradicional,sódijuá,adj,
traer,huí’,verbo,
traer,yu’,verbo,
tragar,bú’t,verbo,
traído,huí’ua,adj,
traído,yú’ua,adj,
trampa,urís,sust,
tranquilo,sí’sát,adj,
transateayer,quibí bán’,adv,
transformarse,shi,verbo,
transparente,drubé,adj,
trapo,cú’shi cá,sust,
"tras, detrás de (en compañía del sust dén’)",ca,posp,
trastero,cuín’uá,sust,
trece,mán’ cúj,num,
trece,óshtan’,num,
trenza,máncua,sust,
trenzado,buguá,adj,
trenzar,buc,verbo,
tres,mán’,num,
triste,huasá’cra,adj,
triste,shó’huadrú’,adj,
triste,shó’shi,adj,
trompa,cuemíj,sust,
tronco,crán’ túj,sust,
tropezar,cu’sté’,verbo,
tropiezo,cu’ste’crá,sust,
trueno,các,sust,
tuerto,tué’t,adj,
túnel,cán’ túj,sust,
ubre,ca’,sust,
último,nen’íj,adj,
uña,cú’scua,sust,
ungüento,shíc,sust,
únicamente,reshí,adv,
unido,bus,adj,
unir,ré,verbo,
uno,"é’xe, é’xi",num,
uno tras otro,yá’ dén’ ca,loc,
urdido,biní,adj,
urdimbre,cuisíj,sust,
urdir,bin’,verbo,
usado (referido a objetos),uran’cá,adj,
vaca,turi ramát,sust,
vacío,ijnén’,adj,
vaina,huá’p,sust,
vainica,sué’p urí’át,sust,
valiente,ajgoní,adj,
valiente,ajgraní,adj,
valle,tán’,sust,
valor,shugué’,sust,
vaquero,turi crabé’íj,sust,
vasija,shí,sust,
vecino,cra’,sust,
vejiga,huishuá,sust,
vello,shíjt xít,sust,
vena,sú’cra,sust,
venado,suturíc,sust,
vencer,yaj,verbo,
vencido,yajcá,adj,
vencido,yajuá,adj,
vender,chictón’,verbo,
veneno,ai’uá,sust,
venir,dabac,verbo,
venir derecho a un sitio,tu’dé,verbo,
ventana,úcarás xít,sust,
ventarrón,shun’brú’,sust,
ver,ísht,verbo,
veraguarse,sec,verbo,
verdad,téc sijí,sust,
verdad?,huá’,interj,
verdadero,sijí,adj,
verdadero,suta,adv,
verde,hua’cá,adj,
verdura,dú,sust,
vergüenza,beát,sust,
vergüenza,bia,sust,
vértebras,chen’cuá detcrá,sust,
verter,quiaj,verbo,
vestido,é’shi,adj,
vestido,ushéshi,adj,
vestido (participio pasado de vestir),úshegué,adj,
vestirse,ushé,verbo,
vestirse,yá’ ushé,verbo,
vez,déc,sust,
viaje,cajp,sust,
vida,yiri’cá,sust,
viejo,sujgrójc,adj,
viejo,shi’át,adj,
viento,shún’,sust,
vientre,rá’huábij,sust,
violencia,ájc,sust,
violento,ajcá,adj,
viscoso,rodón’,adj,
"visible a simple vista, que se ve delante de uno",ca’ísh huáj ta,adj,
visita,cun’í,sust,
visitar,cún’,verbo,
visto,íshdua,adj,
viuda,sajsaj,sust,
vivienda,cahuí’cra,sust,
vivir,cahuí’,verbo,
vivo,yiri’cá,adj,
volado,cún’ua,adj,
volando,cún’ua,adv,
volar,cun’,verbo,
volcar,shicujt,verbo,
volver,shi,verbo,
vomitado,huecá,adj,
vomitar,huec,verbo,
vómito,huecá,sust,
vómito,huecchá,sust,
vuelta (de un camino),cué’,sust,
vulva,cróc,sust,
y,iné,conj,
y,iní’,conj,
y,ní,conj,
y demás cosas,huá’shi huá’shi,loc adv,
yema,quisíj,sust,
yema,súij,sust,
yerno,quibíj,sust,
yo,át,pron pers,
yuca,únca,sust,
zacate,su,sust,
zacate de limón,sú dun’ón’,sust,
zambullirse,su’c,verbo,
zancudo,éjc,sust,
zanja,cajc,sust,
zanjo,rúbren’,sust,
zapato,crá é’ua,sust,
zapato,curáscua é’ua,sust,
zigzagueando,cu’n’cu’n’,adv,
zompopa,si,sust,
zompopa,shij,sust,
zorro,suít,sust,
